,name,trackID,popularity,album,artist,artist_popularity,release_date,length,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Is hit
36,The Mack,7aV2mflaASUmGhCErm7kBO,0,The Mack,Nevada,53,2016-09-23,167038,0.0707,0.707,0.883,0.0,0.23,-4.281,0.0602,106.031,4,1
37,I Would Like,4Q4jmPHwu0wrJvqrld0FQ6,57,So Good,Zara Larsson,79,2017-03-17,226720,0.0853,0.486,0.713,0.0,0.0839,-3.949,0.0524,121.028,4,1
38,Shed a Light,1cG0umU5TKStygKsPFZ9pY,58,Shed a Light,Robin Schulz,83,2016-11-25,191379,0.112,0.483,0.787,0.0,0.257,-5.244,0.102,122.058,4,1
39,I Took A Pill In Ibiza - Seeb Remix,17Fd6Yb7mSbinKG8LoWfFl,1,"At Night, Alone.",Mike Posner,75,2016-05-06,197933,0.0353,0.663,0.713,7.68e-06,0.0843,-6.647,0.112,101.965,4,1
40,We Don't Talk Anymore (feat. Selena Gomez),68EMU2RD1ECNeOeJ5qAXCV,56,Nine Track Mind,Charlie Puth,86,2015-11-05,217706,0.621,0.728,0.563,0.0,0.179,-8.053,0.134,100.017,4,1
41,Hear Me Now,1a5Yu5L18qNxVhXx38njON,51,Hear Me Now,Alok,83,2016-01-01,192846,0.537,0.788,0.43,0.00261,0.0936,-7.757,0.0419,121.996,4,1
42,Safari,6rQSrBHf7HlZjtcMZ4S4bO,0,Energía,J Balvin,93,2016-06-24,205600,0.551,0.508,0.687,3.41e-06,0.126,-4.361,0.326,180.044,4,1
43,Broccoli (feat. Lil Yachty),7yyRTcZmCiyzzJlNzGC9Ol,62,Big Baby DRAM,Shelley FKA DRAM,66,2016-10-21,225205,0.236,0.886,0.525,0.0,0.057,-7.39,0.131,145.99,4,1
44,This Is What You Came For (feat. Rihanna),0azC730Exh71aQlOt9Zj3y,79,This Is What You Came For (feat. Rihanna),Calvin Harris,87,2016-04-29,222160,0.199,0.631,0.927,0.119,0.148,-2.787,0.0332,123.962,4,1
45,"How Far I'll Go - From ""Moana""",5hYTyyh2odQKphUbMqc5gN,0,"How Far I'll Go (From ""Moana"")",Alessia Cara,80,2016-10-28,175517,0.157,0.314,0.555,0.000108,0.067,-9.601,0.37,179.666,4,1
46,Caroline,5GFDrUTLGJix84sNhjCG0g,0,Caroline,Aminé,76,2016-08-26,209746,0.303,0.945,0.394,0.0,0.131,-8.571,0.492,120.058,4,1
47,Work from Home (feat. Ty Dolla $ign),4tCtwWceOPWzenK2HAIJSb,75,7/27 (Deluxe),Fifth Harmony,73,2016-05-27,214480,0.103,0.803,0.585,3.94e-06,0.0644,-5.861,0.0432,105.017,4,1
48,Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,72,Vente Pa' Ca (feat. Maluma),Ricky Martin,79,2016-09-22,259195,0.00431,0.663,0.92,1.69e-05,0.101,-4.07,0.226,99.935,4,1
49,Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,73,Motivan2,Zion & Lennox,84,2016-09-30,209453,0.0559,0.832,0.772,0.000486,0.44,-5.429,0.1,96.016,4,1
50,Party Monster,4F7A0DXBrmUAkp32uenhZt,71,Starboy,The Weeknd,97,2016-11-25,249213,0.189,0.573,0.63,2.31e-05,0.259,-8.389,0.105,77.525,4,1
51,Sexual,3AsAuGTaDQzavZZThyYlop,0,Sexual,NEIKED,74,2016-08-26,188888,0.0623,0.803,0.569,0.0,0.083,-7.392,0.0739,107.986,4,1
52,Perfect Strangers,1CUVN2kn7mW5FjkqXTR2W1,0,Perfect Strangers,Jonas Blue,80,2016-06-03,196613,0.372,0.742,0.819,0.0,0.277,-5.307,0.0487,117.986,4,1
53,The Greatest (feat. Kendrick Lamar),7xHWNBFm6ObGEQPaUxHuKO,68,This Is Acting (Deluxe Version),Sia,88,2016-10-21,210226,0.0102,0.668,0.725,0.000479,0.0561,-6.127,0.266,191.944,4,1
54,Ride,2Z8WuEywRWYTKe1NybPQEW,80,Blurryface,Twenty One Pilots,85,2015-05-15,214506,0.00835,0.645,0.713,0.0,0.113,-5.355,0.0393,74.989,4,1
55,Bounce Back,0SGkqnVQo9KPytSri1H6cF,71,I Decided.,Big Sean,84,2017-02-03,222360,0.106,0.78,0.575,0.0,0.129,-5.628,0.139,81.502,4,1
56,Deja Vu,6I6NX6tjGsxFAsIfGzY9lJ,70,4 Your Eyez Only,J. Cole,91,2016-12-09,264746,0.352,0.657,0.421,0.000218,0.187,-11.378,0.412,174.063,4,1
57,Solo Dance,6HUnnBwYZqcED1eQztxMBN,0,Solo Dance,Martin Jensen,73,2016-11-04,174933,0.0435,0.744,0.836,0.0,0.194,-2.396,0.0507,114.965,4,1
58,Work,14WWzenpaEgQZlqPq2nk4v,0,ANTI (Deluxe),Rihanna,92,2016-01-28,219320,0.0752,0.725,0.534,0.0,0.0919,-6.238,0.0946,91.974,4,1
59,Too Good,11KJSRSgaDxqydKYiD2Jew,0,Views,Drake,98,2016-05-06,263373,0.0573,0.804,0.648,3.49e-05,0.102,-7.805,0.117,117.983,4,1
60,Human,58zsLZPvfflaiIbNWoA22O,75,Human (Deluxe),Rag'n'Bone Man,73,2017-02-10,200186,0.393,0.602,0.707,0.0,0.165,-4.097,0.302,75.087,4,1
61,Love Yourself,3hB5DgAiMAQ4DzYbsMq1IT,0,Purpose (Deluxe),Justin Bieber,96,2015-11-13,233720,0.835,0.609,0.378,0.0,0.28,-9.828,0.438,100.418,4,1
62,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,83,Blurryface,Twenty One Pilots,85,2015-05-15,202333,0.0462,0.734,0.637,2.29e-05,0.0602,-5.677,0.141,169.977,4,1
63,Faded,7gHs73wELdeycvS48JfIos,71,Faded,Alan Walker,85,2015-12-04,212626,0.0291,0.589,0.651,3.2e-06,0.111,-5.097,0.0306,90.011,4,1
64,Sorry,69bp2EbF7Q2rqc5N3ylezZ,0,Purpose (Deluxe),Justin Bieber,96,2015-11-13,200786,0.0797,0.654,0.76,0.0,0.299,-3.669,0.045,99.945,4,1
65,Panda,5OOkp4U9P9oL23maHFHL1h,0,New English,Desiigner,69,2016-06-26,246761,0.028,0.576,0.766,1.68e-06,0.366,-4.943,0.449,144.833,4,1
66,"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,77,us,Garrett Nash,70,2016-03-25,251033,0.687,0.492,0.275,0.0,0.101,-13.4,0.3,92.6,4,1
67,Make Me (Cry),2BrzlUj1u1CtvaJDGIKpsP,66,Make Me (Cry),Noah Cyrus,76,2016-11-15,242081,0.592,0.588,0.471,0.00146,0.0733,-7.287,0.0577,152.881,4,1
68,Water Under the Bridge,4vb4mFvYsr2h6enhjJsq9Y,0,25,Adele,90,2016-06-24,240426,0.0189,0.596,0.838,1.54e-05,0.108,-6.52,0.0704,94.982,4,1
69,Cake By The Ocean,2aFiaMXmWsM3Vj72F9ksBl,0,DNCE,DNCE,75,2016-11-18,219146,0.156,0.774,0.764,0.0,0.0383,-5.445,0.0518,118.997,4,1
70,The Greatest,6bLopGnirdrilrpdVB6Um1,67,This Is Acting (Deluxe Version),Sia,88,2016-10-21,210920,0.0174,0.639,0.785,0.00107,0.0512,-6.167,0.174,191.95,4,1
71,Hymn for the Weekend - Seeb Remix,1OAiWI2oPmglaOiv9fdioU,32,A Head Full of Dreams Tour Edition,Coldplay,92,2015-12-04,212647,0.00868,0.564,0.849,4.68e-06,0.12,-3.516,0.0517,102.028,4,1
72,The Ocean (feat. Shy Martin),2CPqh63wRVscbceKcPxwvv,70,The Ocean (feat. Shy Martin),Mike Perry,72,2016-04-15,183414,0.0225,0.632,0.575,1.81e-06,0.104,-6.478,0.029,90.037,4,1
73,Lot to Learn,3TRFq09DUgYj1mug6RRqJW,60,TMRW,Luke Christopher,55,2015-09-11,248337,0.0948,0.405,0.846,0.0,0.0666,-3.57,0.195,82.232,4,1
74,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,75,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne,91,2016-06-24,243490,0.255,0.502,0.786,0.0,0.65,-4.378,0.317,169.021,4,1
75,Light It Up (feat. Nyla & Fuse ODG) - Remix,0L7loeTIg6akW84aEQZpCT,0,Peace Is The Mission: Extended,Major Lazer,79,2015-06-01,166138,0.0375,0.746,0.877,0.000833,0.233,-3.782,0.0666,107.985,4,1
76,Setting Fires,0B8B8cVRFIG1yznoQe7c9s,0,Setting Fires,The Chainsmokers,86,2016-11-04,247426,0.017,0.626,0.717,0.0,0.261,-5.751,0.0375,105.039,4,1
77,Controlla,6F609ICg9Spjrw1epsAnpa,0,Views,Drake,98,2016-05-06,245226,0.0773,0.607,0.476,0.0,0.113,-11.076,0.249,122.976,5,1
78,Deu Onda,0EPxmvsG1BY5td4aTOkWBF,0,Deu Onda,MC G15,68,2016-12-15,144039,0.456,0.931,0.604,0.0,0.0488,-1.41,0.0573,129.926,4,1
79,La Bicicleta,0sXvAOmXgjR2QUqLK1MltU,57,El Dorado,Shakira,86,2017-05-26,227706,0.198,0.736,0.964,2.32e-06,0.336,-2.147,0.129,179.935,4,1
80,Shout Out to My Ex,0YHUITU3w6ws1v8ehT264g,0,Glory Days (Deluxe),Little Mix,84,2016-11-18,246240,0.0316,0.774,0.739,5.95e-06,0.119,-4.022,0.0952,126.002,4,1
